x-axis,MATH
+286.5000E+03,-73.19286E+00
+287.0000E+03,-74.77489E+00
+287.5000E+03,-72.94872E+00
+288.0000E+03,-69.84325E+00
+288.5000E+03,-70.34130E+00
+289.0000E+03,-72.37255E+00
+289.5000E+03,-73.63231E+00
+290.0000E+03,-72.57763E+00
+290.5000E+03,-74.56981E+00
+291.0000E+03,-80.35106E+00
+291.5000E+03,-77.75341E+00
+292.0000E+03,-71.71825E+00
+292.5000E+03,-71.56200E+00
+293.0000E+03,-71.09325E+00
+293.5000E+03,-71.33739E+00
+294.0000E+03,-71.89403E+00
+294.5000E+03,-71.21044E+00
+295.0000E+03,-70.18505E+00
+295.5000E+03,-68.51513E+00
+296.0000E+03,-71.14208E+00
+296.5000E+03,-77.84130E+00
+297.0000E+03,-73.79833E+00
+297.5000E+03,-72.30419E+00
+298.0000E+03,-73.51513E+00
+298.5000E+03,-74.60888E+00
+299.0000E+03,-66.61083E+00
+299.5000E+03,-65.46825E+00
+300.0000E+03,-66.02489E+00
+300.5000E+03,-67.11864E+00
+301.0000E+03,-64.70653E+00
+301.5000E+03,-62.57763E+00
+302.0000E+03,-61.59130E+00
+302.5000E+03,-59.44286E+00
+303.0000E+03,-60.16552E+00
+303.5000E+03,-62.87059E+00
+304.0000E+03,-68.98388E+00
+304.5000E+03,-74.75536E+00
+305.0000E+03,-77.65575E+00
+305.5000E+03,-77.99755E+00
+306.0000E+03,-78.61278E+00
+306.5000E+03,-75.31200E+00
+307.0000E+03,-68.65184E+00
+307.5000E+03,-67.30419E+00
+308.0000E+03,-67.48973E+00
+308.5000E+03,-68.04638E+00
+309.0000E+03,-67.37255E+00
+309.5000E+03,-65.35106E+00
+310.0000E+03,-65.47802E+00
+310.5000E+03,-65.85888E+00
+311.0000E+03,-67.21630E+00
+311.5000E+03,-72.12841E+00
+312.0000E+03,-73.78856E+00
+312.5000E+03,-70.85888E+00
+313.0000E+03,-69.76513E+00
+313.5000E+03,-69.64794E+00
+314.0000E+03,-70.23388E+00
+314.5000E+03,-71.03466E+00
+315.0000E+03,-68.16356E+00
+315.5000E+03,-68.10497E+00
+316.0000E+03,-67.02098E+00
+316.5000E+03,-64.29638E+00
+317.0000E+03,-65.59520E+00
+317.5000E+03,-69.18895E+00
+318.0000E+03,-68.08544E+00
+318.5000E+03,-67.49950E+00
+319.0000E+03,-68.02684E+00
+319.5000E+03,-69.60888E+00
+320.0000E+03,-71.21044E+00
+320.5000E+03,-76.14208E+00
+321.0000E+03,-78.42723E+00
+321.5000E+03,-84.14013E+00
+322.0000E+03,-81.42528E+00
+322.5000E+03,-71.65966E+00
+323.0000E+03,-66.03466E+00
+323.5000E+03,-63.38817E+00
+324.0000E+03,-62.42138E+00
+324.5000E+03,-63.36864E+00
+325.0000E+03,-66.08348E+00
+325.5000E+03,-69.05223E+00
+326.0000E+03,-67.91942E+00
+326.5000E+03,-62.66552E+00
+327.0000E+03,-62.10888E+00
+327.5000E+03,-62.49950E+00
+328.0000E+03,-64.70653E+00
+328.5000E+03,-70.14598E+00
+329.0000E+03,-75.58544E+00
+329.5000E+03,-70.89794E+00
+330.0000E+03,-71.45458E+00
+330.5000E+03,-72.29442E+00
+331.0000E+03,-69.20848E+00
+331.5000E+03,-67.42138E+00
+332.0000E+03,-68.08544E+00
+332.5000E+03,-69.64794E+00
+333.0000E+03,-68.35888E+00
+333.5000E+03,-70.78075E+00
+334.0000E+03,-75.43895E+00
+334.5000E+03,-67.61669E+00
+335.0000E+03,-67.83153E+00
+335.5000E+03,-70.12645E+00
+336.0000E+03,-75.19481E+00
+336.5000E+03,-75.41942E+00
+337.0000E+03,-75.03856E+00
+337.5000E+03,-75.04833E+00
+338.0000E+03,-73.81786E+00
+338.5000E+03,-70.03856E+00
+339.0000E+03,-71.72802E+00
+339.5000E+03,-78.63231E+00
+340.0000E+03,-82.86083E+00
+340.5000E+03,-78.90575E+00
+341.0000E+03,-76.90380E+00
+341.5000E+03,-71.85497E+00
+342.0000E+03,-71.56200E+00
+342.5000E+03,-71.55223E+00
+343.0000E+03,-71.52294E+00
+343.5000E+03,-71.77684E+00
+344.0000E+03,-72.06981E+00
+344.5000E+03,-70.66356E+00
+345.0000E+03,-71.49364E+00
+345.5000E+03,-71.75731E+00
+346.0000E+03,-62.73388E+00
+346.5000E+03,-53.33934E+00
+347.0000E+03,-45.43895E+00
+347.5000E+03,-42.86083E+00
+348.0000E+03,-42.42138E+00
+348.5000E+03,-43.01708E+00
+349.0000E+03,-46.47411E+00
+349.5000E+03,-54.99950E+00
+350.0000E+03,-65.61473E+00
+350.5000E+03,-66.80614E+00
+351.0000E+03,-70.31200E+00
+351.5000E+03,-71.95263E+00
+352.0000E+03,-72.89013E+00
+352.5000E+03,-75.70263E+00
+353.0000E+03,-74.95067E+00
+353.5000E+03,-72.69481E+00
+354.0000E+03,-70.70263E+00
+354.5000E+03,-64.72606E+00
+355.0000E+03,-65.49755E+00
+355.5000E+03,-67.81200E+00
+356.0000E+03,-68.05614E+00
+356.5000E+03,-68.78856E+00
+357.0000E+03,-69.11083E+00
+357.5000E+03,-71.00536E+00
+358.0000E+03,-73.78856E+00
+358.5000E+03,-73.04638E+00
+359.0000E+03,-70.50731E+00
+359.5000E+03,-69.56981E+00
+360.0000E+03,-69.69677E+00
+360.5000E+03,-70.07763E+00
+361.0000E+03,-71.52294E+00
+361.5000E+03,-75.06786E+00
+362.0000E+03,-71.38622E+00
+362.5000E+03,-67.46044E+00
+363.0000E+03,-71.68895E+00
+363.5000E+03,-81.65966E+00
+364.0000E+03,-73.12450E+00
+364.5000E+03,-71.80614E+00
+365.0000E+03,-71.36669E+00
+365.5000E+03,-72.68505E+00
+366.0000E+03,-75.28270E+00
+366.5000E+03,-71.21044E+00
+367.0000E+03,-71.84520E+00
+367.5000E+03,-74.48192E+00
+368.0000E+03,-76.27880E+00
+368.5000E+03,-75.07763E+00
+369.0000E+03,-75.47802E+00
+369.5000E+03,-75.42919E+00
+370.0000E+03,-71.16161E+00
+370.5000E+03,-68.15380E+00
+371.0000E+03,-62.39208E+00
+371.5000E+03,-58.02684E+00
+372.0000E+03,-57.49950E+00
+372.5000E+03,-57.57763E+00
+373.0000E+03,-57.99755E+00
+373.5000E+03,-59.76513E+00
+374.0000E+03,-65.16552E+00
+374.5000E+03,-72.73388E+00
+375.0000E+03,-76.20067E+00
+375.5000E+03,-66.21044E+00
+376.0000E+03,-67.76317E+00
+376.5000E+03,-72.62645E+00
+377.0000E+03,-73.24169E+00
+377.5000E+03,-72.25536E+00
+378.0000E+03,-68.86669E+00
+378.5000E+03,-67.57763E+00
+379.0000E+03,-68.14403E+00
+379.5000E+03,-69.84325E+00
+380.0000E+03,-70.14598E+00
+380.5000E+03,-71.05419E+00
+381.0000E+03,-71.88427E+00
+381.5000E+03,-73.60302E+00
+382.0000E+03,-71.28856E+00
+382.5000E+03,-71.06395E+00
+383.0000E+03,-70.39013E+00
+383.5000E+03,-71.23973E+00
+384.0000E+03,-73.78856E+00
+384.5000E+03,-73.44677E+00
+385.0000E+03,-72.42138E+00
+385.5000E+03,-73.31005E+00
+386.0000E+03,-75.97606E+00
+386.5000E+03,-77.26513E+00
+387.0000E+03,-81.01513E+00
+387.5000E+03,-78.74950E+00
+388.0000E+03,-73.00731E+00
+388.5000E+03,-73.29052E+00
+389.0000E+03,-74.17919E+00
+389.5000E+03,-74.13036E+00
+390.0000E+03,-73.32958E+00
+390.5000E+03,-71.45458E+00
+391.0000E+03,-68.55419E+00
+391.5000E+03,-68.73973E+00
+392.0000E+03,-68.43700E+00
+392.5000E+03,-65.65380E+00
+393.0000E+03,-65.03856E+00
+393.5000E+03,-65.36083E+00
+394.0000E+03,-66.32763E+00
+394.5000E+03,-67.28466E+00
+395.0000E+03,-69.50145E+00
+395.5000E+03,-65.98583E+00
+396.0000E+03,-60.67333E+00
+396.5000E+03,-58.71044E+00
+397.0000E+03,-59.14989E+00
+397.5000E+03,-61.56200E+00
+398.0000E+03,-65.72216E+00
+398.5000E+03,-69.40380E+00
+399.0000E+03,-71.44481E+00
+399.5000E+03,-68.16356E+00
+400.0000E+03,-69.64794E+00
+400.5000E+03,-73.92528E+00
+401.0000E+03,-72.37255E+00
+401.5000E+03,-68.77880E+00
+402.0000E+03,-67.22606E+00
+402.5000E+03,-67.59716E+00
+403.0000E+03,-69.85302E+00
+403.5000E+03,-73.70067E+00
+404.0000E+03,-74.96044E+00
+404.5000E+03,-76.56200E+00
+405.0000E+03,-81.30809E+00
+405.5000E+03,-81.09325E+00
+406.0000E+03,-79.27684E+00
+406.5000E+03,-74.17919E+00
+407.0000E+03,-74.74559E+00
+407.5000E+03,-75.41942E+00
+408.0000E+03,-71.75731E+00
+408.5000E+03,-69.99950E+00
+409.0000E+03,-72.13817E+00
+409.5000E+03,-77.80223E+00
+410.0000E+03,-74.50145E+00
+410.5000E+03,-70.46825E+00
+411.0000E+03,-67.77294E+00
+411.5000E+03,-67.99755E+00
+412.0000E+03,-67.98778E+00
+412.5000E+03,-65.93700E+00
+413.0000E+03,-65.73192E+00
+413.5000E+03,-65.09716E+00
+414.0000E+03,-65.03856E+00
+414.5000E+03,-65.77098E+00
+415.0000E+03,-71.31786E+00
+415.5000E+03,-78.48583E+00
+416.0000E+03,-67.50927E+00
+416.5000E+03,-59.05223E+00
+417.0000E+03,-54.10106E+00
+417.5000E+03,-52.34325E+00
+418.0000E+03,-52.79247E+00
+418.5000E+03,-54.92138E+00
+419.0000E+03,-59.06200E+00
+419.5000E+03,-67.92919E+00
+420.0000E+03,-76.96239E+00
+420.5000E+03,-71.08348E+00
+421.0000E+03,-66.01513E+00
+421.5000E+03,-66.15184E+00
+422.0000E+03,-68.36864E+00
+422.5000E+03,-73.65184E+00
+423.0000E+03,-72.97802E+00
+423.5000E+03,-70.91747E+00
+424.0000E+03,-67.10888E+00
+424.5000E+03,-67.92919E+00
+425.0000E+03,-70.12645E+00
+425.5000E+03,-69.33544E+00
+426.0000E+03,-69.16942E+00
+426.5000E+03,-68.67138E+00
+427.0000E+03,-68.89598E+00
+427.5000E+03,-69.64794E+00
+428.0000E+03,-72.45067E+00
+428.5000E+03,-77.84130E+00
+429.0000E+03,-70.89794E+00
+429.5000E+03,-71.62059E+00
+430.0000E+03,-73.51513E+00
+430.5000E+03,-72.69481E+00
+431.0000E+03,-72.69481E+00
+431.5000E+03,-71.64013E+00
+432.0000E+03,-68.47606E+00
+432.5000E+03,-69.93114E+00
+433.0000E+03,-75.85888E+00
+433.5000E+03,-80.29247E+00
+434.0000E+03,-78.24169E+00
+434.5000E+03,-74.37450E+00
+435.0000E+03,-74.89208E+00
+435.5000E+03,-76.44481E+00
+436.0000E+03,-74.40380E+00
+436.5000E+03,-67.47020E+00
+437.0000E+03,-65.03856E+00
+437.5000E+03,-66.10302E+00
+438.0000E+03,-69.32567E+00
+438.5000E+03,-69.58934E+00
+439.0000E+03,-70.11669E+00
+439.5000E+03,-69.15966E+00
+440.0000E+03,-66.28856E+00
+440.5000E+03,-63.81786E+00
+441.0000E+03,-55.13622E+00
+441.5000E+03,-50.84911E+00
+442.0000E+03,-49.41356E+00
+442.5000E+03,-49.77489E+00
+443.0000E+03,-52.06981E+00
+443.5000E+03,-58.02684E+00
+444.0000E+03,-67.91942E+00
+444.5000E+03,-76.10302E+00
+445.0000E+03,-74.37450E+00
+445.5000E+03,-74.94091E+00
+446.0000E+03,-75.97606E+00
+446.5000E+03,-73.98388E+00
+447.0000E+03,-74.25731E+00
+447.5000E+03,-74.57958E+00
+448.0000E+03,-72.25536E+00
+448.5000E+03,-69.76513E+00
+449.0000E+03,-69.96044E+00
+449.5000E+03,-71.66942E+00
+450.0000E+03,-75.03856E+00
+450.5000E+03,-76.20067E+00
+451.0000E+03,-79.29638E+00
+451.5000E+03,-76.80614E+00
+452.0000E+03,-73.56395E+00
+452.5000E+03,-76.12255E+00
+453.0000E+03,-76.45458E+00
+453.5000E+03,-72.56786E+00
+454.0000E+03,-68.95458E+00
+454.5000E+03,-68.04638E+00
+455.0000E+03,-69.53075E+00
+455.5000E+03,-75.12645E+00
+456.0000E+03,-78.26122E+00
+456.5000E+03,-77.38231E+00
+457.0000E+03,-76.96239E+00
+457.5000E+03,-75.43895E+00
+458.0000E+03,-73.66161E+00
+458.5000E+03,-70.62450E+00
+459.0000E+03,-69.99950E+00
+459.5000E+03,-67.75341E+00
+460.0000E+03,-64.53075E+00
+460.5000E+03,-65.59520E+00
+461.0000E+03,-71.08348E+00
+461.5000E+03,-77.96825E+00
+462.0000E+03,-76.57177E+00
+462.5000E+03,-71.02489E+00
+463.0000E+03,-66.93309E+00
+463.5000E+03,-66.87450E+00
+464.0000E+03,-67.09911E+00
+464.5000E+03,-68.91552E+00
+465.0000E+03,-72.34325E+00
+465.5000E+03,-70.82958E+00
+466.0000E+03,-66.28856E+00
+466.5000E+03,-67.60692E+00
+467.0000E+03,-71.71825E+00
+467.5000E+03,-72.20653E+00
+468.0000E+03,-73.39794E+00
+468.5000E+03,-75.61473E+00
+469.0000E+03,-71.61083E+00
+469.5000E+03,-70.11669E+00
+470.0000E+03,-69.76513E+00
+470.5000E+03,-69.83348E+00
+471.0000E+03,-70.37059E+00
+471.5000E+03,-73.66161E+00
+472.0000E+03,-83.07567E+00
+472.5000E+03,-86.01513E+00
+473.0000E+03,-71.82567E+00
+473.5000E+03,-71.52294E+00
+474.0000E+03,-72.53856E+00
+474.5000E+03,-71.71825E+00
+475.0000E+03,-72.28466E+00
+475.5000E+03,-72.97802E+00
+476.0000E+03,-69.96044E+00
+476.5000E+03,-70.38036E+00
+477.0000E+03,-70.97606E+00
+477.5000E+03,-68.98388E+00
+478.0000E+03,-69.46239E+00
+478.5000E+03,-70.77098E+00
+479.0000E+03,-69.53075E+00
+479.5000E+03,-66.95263E+00
+480.0000E+03,-67.20653E+00
+480.5000E+03,-68.29052E+00
+481.0000E+03,-69.25731E+00
+481.5000E+03,-70.14598E+00
+482.0000E+03,-71.56200E+00
+482.5000E+03,-67.81200E+00
+483.0000E+03,-70.49755E+00
+483.5000E+03,-77.35302E+00
+484.0000E+03,-71.89403E+00
+484.5000E+03,-65.89794E+00
+485.0000E+03,-64.60888E+00
+485.5000E+03,-63.19286E+00
+486.0000E+03,-56.59130E+00
+486.5000E+03,-48.47606E+00
+487.0000E+03,-45.02880E+00
+487.5000E+03,-44.17919E+00
+488.0000E+03,-44.31591E+00
+488.5000E+03,-45.83934E+00
+489.0000E+03,-50.89794E+00
+489.5000E+03,-60.67333E+00
+490.0000E+03,-74.53075E+00
+490.5000E+03,-73.73973E+00
+491.0000E+03,-71.36669E+00
+491.5000E+03,-72.29442E+00
+492.0000E+03,-73.16356E+00
+492.5000E+03,-67.42138E+00
+493.0000E+03,-68.45653E+00
+493.5000E+03,-71.56200E+00
+494.0000E+03,-72.78270E+00
+494.5000E+03,-76.10302E+00
+495.0000E+03,-75.07763E+00
+495.5000E+03,-74.90184E+00
+496.0000E+03,-74.37450E+00
+496.5000E+03,-75.29247E+00
+497.0000E+03,-77.12841E+00
+497.5000E+03,-74.37450E+00
+498.0000E+03,-74.78466E+00
+498.5000E+03,-75.74169E+00
+499.0000E+03,-74.65770E+00
+499.5000E+03,
+500.0000E+03,
+500.5000E+03,
+501.0000E+03,
+501.5000E+03,
+502.0000E+03,
+502.5000E+03,
+503.0000E+03,
+503.5000E+03,
+504.0000E+03,
+504.5000E+03,
+505.0000E+03,
+505.5000E+03,
+506.0000E+03,
+506.5000E+03,
+507.0000E+03,
+507.5000E+03,
+508.0000E+03,
+508.5000E+03,
+509.0000E+03,
+509.5000E+03,
+510.0000E+03,
+510.5000E+03,
+511.0000E+03,
+511.5000E+03,
+512.0000E+03,
+512.5000E+03,
+513.0000E+03,
+513.5000E+03,
+514.0000E+03,
+514.5000E+03,
+515.0000E+03,
+515.5000E+03,
+516.0000E+03,
+516.5000E+03,
+517.0000E+03,
+517.5000E+03,
+518.0000E+03,
+518.5000E+03,
+519.0000E+03,
+519.5000E+03,
+520.0000E+03,
+520.5000E+03,
+521.0000E+03,
+521.5000E+03,
+522.0000E+03,
+522.5000E+03,
+523.0000E+03,
+523.5000E+03,
+524.0000E+03,
+524.5000E+03,
+525.0000E+03,
+525.5000E+03,
+526.0000E+03,
+526.5000E+03,
+527.0000E+03,
+527.5000E+03,
+528.0000E+03,
+528.5000E+03,
+529.0000E+03,
+529.5000E+03,
+530.0000E+03,
+530.5000E+03,
+531.0000E+03,
+531.5000E+03,
+532.0000E+03,
+532.5000E+03,
+533.0000E+03,
+533.5000E+03,
+534.0000E+03,
+534.5000E+03,
+535.0000E+03,
+535.5000E+03,
+536.0000E+03,
+536.5000E+03,
+537.0000E+03,
+537.5000E+03,
+538.0000E+03,
+538.5000E+03,
+539.0000E+03,
+539.5000E+03,
+540.0000E+03,
+540.5000E+03,
+541.0000E+03,
+541.5000E+03,
+542.0000E+03,
+542.5000E+03,
+543.0000E+03,
+543.5000E+03,
+544.0000E+03,
+544.5000E+03,
+545.0000E+03,
+545.5000E+03,
+546.0000E+03,
+546.5000E+03,
